"Height","Width","Aspect_ratio","Local","Is_Ad"
51,110,2.1569,1,1
90,60,0.6667,1,1
60,468,7.8,1,1
60,88,1.4667,1,1
60,468,7.8,0,1
51,110,2.1569,1,1
105,225,2.1429,0,1
51,110,2.1569,1,1
33,230,6.9697,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
60,468,7.8,1,1
124,120,0.9677,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
125,125,1,0,1
125,125,1,0,1
51,110,2.1569,1,1
40,400,10,1,1
50,400,8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
40,400,10,1,1
60,468,7.8,1,1
60,468,7.8,1,1
40,400,10,0,1
60,468,7.8,1,1
51,110,2.1569,1,1
60,468,7.8,1,1
60,468,7.8,1,1
45,345,7.6667,1,1
31,90,2.9032,1,1
60,150,2.5,1,1
50,400,8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
55,460,8.3636,1,1
51,110,2.1569,0,1
51,110,2.1569,1,1
88,520,5.9091,0,1
240,120,0.5,0,1
51,110,2.1569,1,1
60,468,7.8,1,1
55,460,8.3636,1,1
51,110,2.1569,0,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,0,1
51,433,8.4902,0,1
51,110,2.1569,1,1
40,100,2.5,0,1
60,468,7.8,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
50,400,8,1,1
60,468,7.8,1,1
50,400,8,0,1
60,468,7.8,0,1
60,468,7.8,1,1
59,164,2.7797,1,1
60,468,7.8,1,1
51,110,2.1569,0,1
55,460,8.3636,1,1
33,230,6.9697,1,1
90,215,2.3889,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
100,510,5.1,1,1
60,468,7.8,1,1
72,392,5.4444,1,1
51,110,2.1569,1,1
68,612,9,1,1
171,227,1.3275,0,1
60,440,7.3333,1,1
60,130,2.1667,1,1
60,430,7.1667,1,1
60,468,7.8,1,1
50,400,8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
55,460,8.3636,1,1
51,110,2.1569,1,1
60,468,7.8,1,1
51,110,2.1569,0,1
51,110,2.1569,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
60,468,7.8,1,1
71,164,2.3099,1,1
29,148,5.1034,1,1
60,280,4.6667,1,1
90,90,1,1,1
38,264,6.9474,1,1
55,416,7.5636,1,1
60,150,2.5,1,1
36,216,6,1,1
72,144,2,1,1
60,468,7.8,1,1
50,150,3,1,1
50,150,3,1,1
50,150,3,1,1
60,468,7.8,1,1
51,110,2.1569,0,1
51,110,2.1569,1,1
50,150,3,1,1
60,468,7.8,1,1
40,400,10,1,1
60,468,7.8,1,1
51,110,2.1569,1,0
51,110,2.1569,1,0
46,109,2.3696,1,0
12,57,4.75,1,0
95,150,1.5789,0,0
51,110,2.1569,0,0
51,110,2.1569,1,0
30,130,4.3333,1,0
35,36,1.0286,0,0
80,92,1.15,1,0
20,90,4.5,1,0
41,239,5.8293,1,0
96,218,2.2708,1,0
16,16,1,1,0
46,109,2.3696,1,0
51,110,2.1569,1,0
150,225,1.5,0,0
159,209,1.3145,1,0
20,90,4.5,1,0
51,110,2.1569,1,0
12,117,9.75,1,0
110,111,1.0091,1,0
161,220,1.3665,0,0
51,110,2.1569,1,0
12,234,19.5,1,0
16,16,1,1,0
51,110,2.1569,1,0
15,110,7.3333,1,0
100,100,1,0,0
195,288,1.4769,1,0
11,96,8.7273,1,0
50,50,1,1,0
114,140,1.2281,1,0
50,58,1.16,1,0
20,90,4.5,1,0
51,110,2.1569,1,0
60,234,3.9,1,0
51,110,2.1569,1,0
30,130,4.3333,1,0
51,110,2.1569,1,0
160,199,1.2437,1,0
63,110,1.746,0,0
134,184,1.3731,0,0
51,110,2.1569,1,0
135,106,0.7852,1,0
40,50,1.25,1,0
51,110,2.1569,1,0
52,144,2.7692,1,0
24,75,3.125,1,0
31,88,2.8387,1,0
30,130,4.3333,1,0
95,64,0.6737,1,0
51,110,2.1569,1,0
62,88,1.4194,1,0
106,183,1.7264,0,0
200,250,1.25,1,0
20,116,5.8,1,0
51,35,0.6863,1,0
16,16,1,1,0
39,120,3.0769,1,0
30,130,4.3333,1,0
55,58,1.0545,0,0
51,110,2.1569,1,0
40,46,1.15,1,0
51,110,2.1569,1,0
11,89,8.0909,1,0
51,110,2.1569,1,0
60,117,1.95,1,0
51,35,0.6863,1,0
52,144,2.7692,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
30,130,4.3333,1,0
90,120,1.3333,0,0
115,205,1.7826,0,0
50,93,1.86,1,0
25,100,4,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
75,200,2.6667,1,0
50,45,0.9,1,0
60,60,1,1,0
12,101,8.4167,1,0
10,600,60,1,0
207,200,0.9662,1,0
46,109,2.3696,1,0
32,32,1,1,0
27,41,1.5185,1,0
51,110,2.1569,0,0
11,64,5.8182,1,0
43,178,4.1395,1,0
51,110,2.1569,1,0
16,16,1,1,0
48,264,5.5,1,0
46,109,2.3696,1,0
150,250,1.6667,0,0
107,120,1.1215,0,0
51,260,5.098,1,0
71,95,1.338,1,0
51,110,2.1569,1,0
36,227,6.3056,0,0
60,51,0.85,1,0
51,110,2.1569,0,0
20,200,10,0,0
30,130,4.3333,1,0
51,110,2.1569,0,0
60,60,1,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
31,88,2.8387,1,0
100,110,1.1,1,0
30,130,4.3333,1,0
52,144,2.7692,1,0
12,101,8.4167,1,0
16,16,1,1,0
51,110,2.1569,0,0
75,95,1.2667,1,0
51,110,2.1569,1,0
25,100,4,1,0
51,110,2.1569,0,0
40,40,1,0,0
51,110,2.1569,1,0
40,130,3.25,1,0
51,110,2.1569,1,0
120,200,1.6667,0,0
28,74,2.6429,0,0
125,125,1,1,0
23,26,1.1304,1,0
100,110,1.1,0,0
31,88,2.8387,1,0
60,468,7.8,0,0
52,144,2.7692,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
11,64,5.8182,1,0
60,140,2.3333,1,0
51,110,2.1569,0,0
41,239,5.8293,1,0
51,110,2.1569,1,0
100,100,1,0,0
23,30,1.3043,0,0
51,110,2.1569,1,0
40,40,1,0,0
125,125,1,1,0
161,119,0.7391,0,0
51,35,0.6863,1,0
51,110,2.1569,1,0
10,600,60,1,0
27,41,1.5185,1,0
51,110,2.1569,1,0
120,200,1.6667,0,0
51,110,2.1569,1,0
52,299,5.75,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
75,95,1.2667,1,0
12,117,9.75,1,0
54,239,4.4259,0,0
102,179,1.7549,0,0
51,110,2.1569,1,0
23,30,1.3043,0,0
149,182,1.2215,0,0
16,162,10.125,0,0
51,110,2.1569,1,0
62,148,2.3871,1,0
40,46,1.15,1,0
150,75,0.5,0,0
46,100,2.1739,1,0
46,109,2.3696,1,0
125,125,1,0,0
119,150,1.2605,0,0
11,96,8.7273,1,0
51,110,2.1569,0,0
76,108,1.4211,0,0
79,150,1.8987,1,0
51,110,2.1569,1,0
158,108,0.6835,0,0
154,231,1.5,0,0
100,100,1,0,0
51,35,0.6863,1,0
8,82,10.25,1,0
46,100,2.1739,1,0
33,124,3.7576,1,0
153,186,1.2157,0,0
46,184,4,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
46,109,2.3696,1,0
150,250,1.6667,1,0
11,89,8.0909,1,0
51,110,2.1569,0,0
52,144,2.7692,1,0
51,110,2.1569,1,0
134,184,1.3731,0,0
51,110,2.1569,1,0
32,260,8.125,1,0
23,30,1.3043,0,0
40,40,1,1,0
83,150,1.8072,1,0
174,152,0.8736,1,0
156,242,1.5513,0,0
25,100,4,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
46,100,2.1739,1,0
128,200,1.5625,0,0
14,30,2.1429,1,0
51,110,2.1569,1,0
20,92,4.6,1,0
172,139,0.8081,0,0
23,30,1.3043,0,0
12,57,4.75,1,0
27,218,8.0741,1,0
75,95,1.2667,1,0
51,110,2.1569,1,0
104,104,1,0,0
51,110,2.1569,1,0
40,40,1,0,0
16,16,1,1,0
51,110,2.1569,1,0
146,141,0.9658,1,0
65,110,1.6923,0,0
90,64,0.7111,0,0
154,125,0.8117,0,0
51,110,2.1569,1,0
11,94,8.5455,1,0
50,45,0.9,0,0
79,150,1.8987,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
28,140,5,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
11,96,8.7273,1,0
51,110,2.1569,1,0
11,89,8.0909,1,0
98,156,1.5918,1,0
51,110,2.1569,0,0
28,150,5.3571,1,0
23,30,1.3043,0,0
26,163,6.2692,1,0
51,110,2.1569,0,0
144,124,0.8611,0,0
51,110,2.1569,1,0
175,148,0.8457,1,0
51,110,2.1569,1,0
20,92,4.6,1,0
40,40,1,0,0
23,30,1.3043,0,0
11,94,8.5455,1,0
116,200,1.7241,0,0
79,150,1.8987,1,0
145,148,1.0207,1,0
150,200,1.3333,0,0
20,10,0.5,1,0
160,238,1.4875,1,0
51,110,2.1569,1,0
100,100,1,1,0
12,102,8.5,1,0
16,16,1,1,0
46,100,2.1739,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
12,101,8.4167,1,0
98,198,2.0204,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
60,120,2,1,0
99,144,1.4545,1,0
12,86,7.1667,1,0
31,88,2.8387,0,0
51,110,2.1569,1,0
25,100,4,1,0
12,102,8.5,1,0
220,220,1,0,0
25,100,4,1,0
60,150,2.5,1,0
46,100,2.1739,1,0
120,105,0.875,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
40,230,5.75,0,0
36,40,1.1111,1,0
51,110,2.1569,1,0
25,100,4,1,0
200,242,1.21,1,0
93,150,1.6129,1,0
16,16,1,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
12,57,4.75,1,0
51,110,2.1569,0,0
185,122,0.6595,0,0
50,50,1,1,0
34,113,3.3235,1,0
25,100,4,1,0
31,88,2.8387,0,0
16,16,1,1,0
40,40,1,0,0
12,86,7.1667,1,0
25,124,4.96,1,0
51,110,2.1569,1,0
239,147,0.6151,0,0
51,110,2.1569,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
23,58,2.5217,1,0
29,100,3.4483,1,0
20,151,7.55,1,0
102,179,1.7549,0,0
24,236,9.8333,1,0
51,110,2.1569,1,0
16,16,1,1,0
12,57,4.75,1,0
51,110,2.1569,1,0
140,172,1.2286,1,0
262,225,0.8588,0,0
21,133,6.3333,1,0
51,110,2.1569,1,0
16,16,1,1,0
11,89,8.0909,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
135,125,0.9259,1,0
20,10,0.5,1,0
102,179,1.7549,0,0
142,198,1.3944,1,0
12,98,8.1667,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
12,101,8.4167,1,0
11,96,8.7273,1,0
142,198,1.3944,1,0
20,92,4.6,1,0
16,16,1,1,0
54,100,1.8519,1,0
191,144,0.7539,0,0
51,110,2.1569,1,0
23,127,5.5217,1,0
22,150,6.8182,1,0
51,110,2.1569,1,0
20,92,4.6,1,0
120,120,1,1,0
51,50,0.9804,1,0
51,110,2.1569,0,0
20,134,6.7,1,0
51,110,2.1569,1,0
31,88,2.8387,0,0
11,94,8.5455,1,0
23,127,5.5217,1,0
87,94,1.0805,0,0
51,110,2.1569,1,0
25,100,4,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
142,198,1.3944,1,0
20,10,0.5,1,0
25,100,4,1,0
23,26,1.1304,1,0
51,110,2.1569,0,0
257,190,0.7393,1,0
51,110,2.1569,1,0
134,184,1.3731,0,0
120,120,1,1,0
66,170,2.5758,1,0
11,64,5.8182,1,0
32,32,1,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
154,231,1.5,0,0
120,120,1,1,0
10,600,60,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
108,120,1.1111,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
200,150,0.75,0,0
44,110,2.5,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
12,86,7.1667,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
75,150,2,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,209,4.098,1,0
16,16,1,1,0
12,101,8.4167,1,0
25,100,4,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
359,243,0.6769,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
12,102,8.5,1,0
21,112,5.3333,1,0
51,110,2.1569,1,0
15,15,1,1,0
51,110,2.1569,1,0
140,140,1,0,0
115,159,1.3826,0,0
50,200,4,0,0
175,158,0.9029,1,0
90,90,1,0,0
12,102,8.5,1,0
51,110,2.1569,1,0
85,237,2.7882,1,0
75,150,2,1,0
132,200,1.5152,0,0
120,120,1,1,0
51,110,2.1569,1,0
237,110,0.4641,1,0
131,122,0.9313,0,0
57,37,0.6491,0,0
96,122,1.2708,1,0
12,101,8.4167,1,0
58,150,2.5862,1,0
50,82,1.64,0,0
76,146,1.9211,1,0
16,16,1,1,0
78,101,1.2949,1,0
51,110,2.1569,1,0
90,90,1,0,0
125,125,1,0,0
51,110,2.1569,1,0
12,101,8.4167,1,0
90,109,1.2111,1,0
33,224,6.7879,1,0
51,110,2.1569,0,0
51,110,2.1569,1,0
23,26,1.1304,1,0
51,42,0.8235,1,0
51,110,2.1569,0,0
149,182,1.2215,0,0
31,88,2.8387,0,0
16,16,1,1,0
75,150,2,1,0
120,120,1,1,0
114,110,0.9649,0,0
35,126,3.6,1,0
51,110,2.1569,1,0
32,32,1,1,0
75,150,2,1,0
50,50,1,0,0
51,75,1.4706,1,0
96,135,1.4062,1,0
212,201,0.9481,0,0
60,95,1.5833,0,0
50,50,1,0,0
75,150,2,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
51,110,2.1569,0,0
11,94,8.5455,1,0
51,110,2.1569,1,0
31,88,2.8387,0,0
120,120,1,1,0
51,110,2.1569,1,0
35,126,3.6,0,0
95,80,0.8421,1,0
40,40,1,1,0
108,203,1.8796,1,0
11,96,8.7273,1,0
51,110,2.1569,0,0
25,25,1,1,0
64,64,1,1,0
35,126,3.6,1,0
18,191,10.6111,1,0
40,140,3.5,0,0
11,89,8.0909,1,0
140,140,1,0,0
123,137,1.1138,1,0
108,229,2.1204,1,0
51,110,2.1569,0,0
92,96,1.0435,0,0
12,57,4.75,1,0
31,88,2.8387,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
96,135,1.4062,1,0
54,90,1.6667,0,0
146,141,0.9658,1,0
51,110,2.1569,1,0
90,90,1,0,0
75,150,2,1,0
65,95,1.4615,1,0
16,16,1,1,0
90,90,1,0,0
75,234,3.12,0,0
51,110,2.1569,1,0
148,200,1.3514,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
35,156,4.4571,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
92,255,2.7717,0,0
60,67,1.1167,1,0
36,41,1.1389,0,0
51,110,2.1569,0,0
43,140,3.2558,0,0
51,110,2.1569,1,0
16,16,1,1,0
51,110,2.1569,1,0
70,50,0.7143,0,0
100,160,1.6,0,0
51,110,2.1569,1,0
90,90,1,0,0
51,110,2.1569,1,0
43,140,3.2558,0,0
35,126,3.6,1,0
11,11,1,1,0
11,94,8.5455,1,0
51,110,2.1569,1,0
40,46,1.15,1,0
84,73,0.869,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
133,120,0.9023,1,0
51,110,2.1569,1,0
11,11,1,0,0
154,196,1.2727,1,0
51,110,2.1569,0,0
90,90,1,0,0
41,239,5.8293,1,0
125,250,2,0,0
31,88,2.8387,1,0
51,110,2.1569,1,0
152,116,0.7632,1,0
20,92,4.6,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
90,90,1,0,0
51,110,2.1569,1,0
11,11,1,1,0
20,400,20,0,0
145,162,1.1172,1,0
48,264,5.5,1,0
11,64,5.8182,1,0
11,11,1,1,0
152,116,0.7632,1,0
70,59,0.8429,1,0
35,126,3.6,1,0
40,40,1,1,0
20,150,7.5,0,0
21,21,1,1,0
35,126,3.6,1,0
131,196,1.4962,1,0
40,46,1.15,1,0
12,101,8.4167,1,0
100,110,1.1,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
69,75,1.087,1,0
100,110,1.1,0,0
94,185,1.9681,1,0
40,46,1.15,1,0
20,150,7.5,0,0
82,77,0.939,1,0
78,101,1.2949,1,0
51,110,2.1569,1,0
20,10,0.5,1,0
51,110,2.1569,1,0
12,101,8.4167,1,0
51,110,2.1569,1,0
40,46,1.15,1,0
51,110,2.1569,1,0
214,150,0.7009,0,0
51,110,2.1569,1,0
110,176,1.6,1,0
90,127,1.4111,0,0
51,110,2.1569,1,0
23,26,1.1304,1,0
48,48,1,1,0
51,110,2.1569,1,0
32,32,1,1,0
11,64,5.8182,1,0
49,67,1.3673,1,0
50,50,1,0,0
51,70,1.3725,1,0
48,75,1.5625,1,0
152,116,0.7632,1,0
51,110,2.1569,1,0
36,38,1.0556,1,0
16,106,6.625,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
44,404,9.1818,0,0
80,200,2.5,1,0
16,106,6.625,0,0
100,110,1.1,0,0
75,59,0.7867,1,0
90,90,1,0,0
40,40,1,0,0
20,92,4.6,1,0
51,110,2.1569,1,0
28,140,5,1,0
35,156,4.4571,1,0
51,75,1.4706,1,0
20,10,0.5,1,0
15,15,1,1,0
152,116,0.7632,1,0
60,75,1.25,1,0
51,110,2.1569,1,0
100,100,1,0,0
90,90,1,0,0
23,30,1.3043,0,0
120,100,0.8333,0,0
51,110,2.1569,0,0
61,194,3.1803,1,0
30,36,1.2,1,0
133,161,1.2105,1,0
31,88,2.8387,0,0
72,73,1.0139,1,0
51,110,2.1569,1,0
57,89,1.5614,1,0
51,110,2.1569,1,0
119,250,2.1008,1,0
40,40,1,0,0
21,100,4.7619,1,0
87,102,1.1724,0,0
78,101,1.2949,1,0
85,66,0.7765,1,0
20,84,4.2,1,0
16,130,8.125,1,0
20,10,0.5,1,0
45,63,1.4,1,0
51,110,2.1569,1,0
16,16,1,1,0
51,110,2.1569,1,0
64,158,2.4688,0,0
62,128,2.0645,1,0
51,110,2.1569,1,0
40,40,1,0,0
23,26,1.1304,1,0
51,110,2.1569,1,0
154,231,1.5,0,0
29,60,2.069,0,0
40,40,1,1,0
15,15,1,1,0
96,466,4.8542,0,0
51,110,2.1569,1,0
51,110,2.1569,1,0
100,102,1.02,1,0
12,101,8.4167,1,0
51,110,2.1569,1,0
16,130,8.125,1,0
51,110,2.1569,1,0
115,150,1.3043,0,0
31,88,2.8387,0,0
51,200,3.9216,1,0
16,120,7.5,0,0
50,400,8,0,0
51,110,2.1569,1,0
89,83,0.9326,1,0
51,110,2.1569,0,0
44,38,0.8636,1,0
51,110,2.1569,1,0
56,56,1,1,0
193,180,0.9326,1,0
51,110,2.1569,1,0
51,110,2.1569,1,0
